     841       0     841
  3299  3000    2   2  1684
  3301  3000    2   2  1684
  3303  3000    2   2  1345
  3305  3000    2   2  1433
  3307  3000    2   2  1954
  3309  3000    2   2  2315
  3311  3000    2   2  2306
  3313  3000    2   2  2403
  3315  3000    2   2  2638
  3317  3000    2   2  2647
  3319  3000    2   2  2694
  3321  3000    2   2  3099
  3323  3000    2   2  3334
  3325  3000    2   2  3354
  3327  3000    2   2  3382
  3329  3000    2   2  3386
  3331  3000    2   2  3111
  3333  3000    2   2  1649
  3335  3000    2   2  2206
  3337  3000    2   2  3442
  3339  3000    2   2  3770
  3341  3000    2   2  3595
  3343  3000    2   2  3543
  3345  3000    2   2  3471
  3347  3000    2   2  3655
  3349  3000    2   2  3834
  3351  3000    2   2  3876
  3353  3000    2   2  3436
  3355  3000    2   2  3007
  3357  3000    2   2  2669
  3359  3000    2   2  2414
  3361  3000    2   2  2473
  3363  3000    2   2  2570
  3365  3000    2   2  2523
  3367  3000    2   2  2269
  3369  3000    2   2  2063
  3371  3000    2   2  2061
  3373  3000    2   2  1952
  3375  3000    2   2  1868
  3377  3000    2   2  1808
  3379  3000    2   2  1759
  3381  3000    2   2  1688
  3383  3000    2   2  1638
  3385  3000    2   2  1628
  3387  3000    2   2  1865
  3389  3000    2   2  2030
  3391  3000    2   2  2000
  3393  3000    2   2  2075
  3395  3000    2   2  2416
  3397  3000    2   2  2330
  3399  3000    2   2  2267
  3401  3000    2   2  2745
  3403  3000    2   2  2998
  3405  3000    2   2  2582
  3407  3000    2   2  2036
  3409  3000    2   2  1833
  3411  3000    2   2  1526
  3413  3000    2   2   688
  3415  3000    2   2   655
  3417  3000    2   2  1783
  3419  3000    2   2   503
  3421  3000    2   2   412
  3423  3000    2   2   920
  3425  3000    2   2   920
  3427  3000    2   2   433
  3429  3000    2   2   219
  3431  3000    2   2   253
  3433  3000    2   2   272
  3435  3000    2   2   240
  3437  3000    2   2   225
  3439  3000    2   2   269
  3441  3000    2   2   568
  3443  3000    2   2  1244
  3445  3000    2   2  1568
  3447  3000    2   2  1459
  3449  3000    2   2  1179
  3451  3000    2   2  1228
  3453  3000    2   2  1427
  3455  3000    2   2  1426
