    8943    2630    3644    1558     600     322     155      32       2       0       0
604 0 1 1 38
660 0 1 1 44
671 0 1 1 452
738 0 1 1 6
740 0 1 1 1
761 0 1 1 19
784 0 1 1 1
787 0 1 1 2
792 0 1 1 18
793 0 1 1 5
798 0 1 1 3
865 0 1 1 11
629 1 1 1 1
660 1 1 1 36
661 1 1 1 18
662 1 1 1 27
663 1 1 1 4
671 1 1 1 467
738 1 1 1 9
739 1 1 1 1
740 1 1 1 1
759 1 1 1 21
760 1 1 1 43
761 1 1 1 43
784 1 1 1 4
785 1 1 1 2
786 1 1 1 1
787 1 1 1 3
792 1 1 1 6
798 1 1 1 2
801 1 1 1 1
865 1 1 1 45
602 2 1 1 32
629 2 1 1 2
671 2 1 1 377
688 2 1 1 418
740 2 1 1 1
758 2 1 1 11
759 2 1 1 87
771 2 1 1 5
798 2 1 1 1
801 2 1 1 2
802 2 1 1 2
664 3 1 1 5
671 3 1 1 275
688 3 1 1 325
689 3 1 1 56
705 3 1 1 22
759 3 1 1 149
771 3 1 1 15
795 3 1 1 2
798 3 1 1 1
800 3 1 1 1
801 3 1 1 3
630 4 1 1 3
631 4 1 1 21
664 4 1 1 22
680 4 1 1 715
681 4 1 1 555
682 4 1 1 472
683 4 1 1 570
690 4 1 1 13
704 4 1 1 4
705 4 1 1 29
738 4 1 1 4
745 4 1 1 2
755 4 1 1 11
756 4 1 1 11
764 4 1 1 67
771 4 1 1 21
800 4 1 1 1
631 5 1 1 12
664 5 1 1 21
671 5 1 1 69
681 5 1 1 85
683 5 1 1 132
690 5 1 1 45
691 5 1 1 21
705 5 1 1 18
738 5 1 1 3
746 5 1 1 1
755 5 1 1 47
756 5 1 1 66
757 5 1 1 69
771 5 1 1 29
800 5 1 1 1
631 6 1 1 5
664 6 1 1 12
685 6 1 1 528
699 6 1 1 24
702 6 1 1 17
705 6 1 1 35
738 6 1 1 2
746 6 1 1 1
771 6 1 1 33
800 6 1 1 1
861 6 1 1 6
631 7 1 1 2
664 7 1 1 17
685 7 1 1 570
697 7 1 1 5
698 7 1 1 38
699 7 1 1 86
702 7 1 1 20
705 7 1 1 64
738 7 1 1 2
746 7 1 1 11
751 7 1 1 16
752 7 1 1 3
753 7 1 1 11
770 7 1 1 17
771 7 1 1 47
800 7 1 1 1
821 7 1 1 1
822 7 1 1 3
823 7 1 1 2
824 7 1 1 1
860 7 1 1 9
861 7 1 1 46
598 8 1 1 222
634 8 1 1 23
635 8 1 1 67
664 8 1 1 12
672 8 1 1 13
673 8 1 1 646
678 8 1 1 630
685 8 1 1 377
697 8 1 1 9
738 8 1 1 4
746 8 1 1 33
769 8 1 1 4
784 8 1 1 2
791 8 1 1 2
815 8 1 1 1
830 8 1 1 2
834 8 1 1 1
857 8 1 1 14
598 9 1 1 189
599 9 1 1 17
635 9 1 1 29
664 9 1 1 8
673 9 1 1 538
678 9 1 1 331
679 9 1 1 16
684 9 1 1 94
685 9 1 1 313
696 9 1 1 10
697 9 1 1 17
738 9 1 1 5
746 9 1 1 22
747 9 1 1 6
748 9 1 1 7
749 9 1 1 20
769 9 1 1 17
791 9 1 1 6
804 9 1 1 1
807 9 1 1 1
812 9 1 1 1
813 9 1 1 1
814 9 1 1 1
815 9 1 1 1
830 9 1 1 5
831 9 1 1 4
832 9 1 1 3
833 9 1 1 4
834 9 1 1 3
835 9 1 1 4
836 9 1 1 2
856 9 1 1 17
857 9 1 1 51
600 10 1 1 1
635 10 1 1 8
673 10 1 1 278
683 10 1 1 34
738 10 1 1 5
760 10 1 1 114
769 10 1 1 37
791 10 1 1 1
811 10 1 1 1
836 10 1 1 2
843 10 1 1 2
855 10 1 1 17
600 11 1 1 3
635 11 1 1 1
673 11 1 1 44
683 11 1 1 94
741 11 1 1 19
742 11 1 1 33
743 11 1 1 2
745 11 1 1 1
760 11 1 1 81
769 11 1 1 19
790 11 1 1 1
791 11 1 1 6
800 11 1 1 1
803 11 1 1 2
809 11 1 1 1
810 11 1 1 1
811 11 1 1 2
837 11 1 1 1
838 11 1 1 3
839 11 1 1 3
840 11 1 1 3
841 11 1 1 2
842 11 1 1 1
843 11 1 1 5
848 11 1 1 1
851 11 1 1 2
852 11 1 1 1
853 11 1 1 2
854 11 1 1 26
855 11 1 1 47
637 12 1 1 13
673 12 1 1 78
678 12 1 1 119
682 12 1 1 16
683 12 1 1 133
741 12 1 1 27
760 12 1 1 13
780 12 1 1 3
791 12 1 1 2
804 12 1 1 2
805 12 1 1 1
809 12 1 1 2
810 12 1 1 2
811 12 1 1 2
846 12 1 1 1
847 12 1 1 1
848 12 1 1 1
637 13 1 1 69
664 13 1 1 34
665 13 1 1 12
672 13 1 1 5
673 13 1 1 28
678 13 1 1 20
683 13 1 1 167
738 13 1 1 18
739 13 1 1 21
740 13 1 1 58
741 13 1 1 75
791 13 1 1 10
804 13 1 1 2
808 13 1 1 2
809 13 1 1 4
811 13 1 1 3
598 14 1 1 38
668 14 1 1 10
678 14 1 1 11
680 14 1 1 17
758 14 1 1 201
767 14 1 1 36
778 14 1 1 9
791 14 1 1 2
806 14 1 1 1
808 14 1 1 1
811 14 1 1 5
845 14 1 1 1
846 14 1 1 1
849 14 1 1 4
598 15 1 1 1
637 15 1 1 3
668 15 1 1 27
669 15 1 1 10
679 15 1 1 23
680 15 1 1 40
681 15 1 1 61
758 15 1 1 202
759 15 1 1 1
764 15 1 1 4
765 15 1 1 16
766 15 1 1 44
767 15 1 1 41
810 15 1 1 1
811 15 1 1 9
845 15 1 1 1
849 15 1 1 21
568 16 1 1 323
571 16 1 1 1
596 16 1 1 97
597 16 1 1 2
637 16 1 1 5
670 16 1 1 3
673 16 1 1 7
679 16 1 1 30
758 16 1 1 224
763 16 1 1 9
776 16 1 1 8
793 16 1 1 2
849 16 1 1 37
568 17 1 1 157
569 17 1 1 7
570 17 1 1 1
571 17 1 1 8
596 17 1 1 2
637 17 1 1 30
670 17 1 1 6
671 17 1 1 10
672 17 1 1 32
673 17 1 1 96
678 17 1 1 59
679 17 1 1 70
758 17 1 1 267
759 17 1 1 47
763 17 1 1 33
793 17 1 1 8
808 17 1 1 2
809 17 1 1 11
846 17 1 1 10
848 17 1 1 15
849 17 1 1 87
592 18 1 1 410
593 18 1 1 234
594 18 1 1 26
637 18 1 1 65
744 18 1 1 291
745 18 1 1 33
747 18 1 1 18
774 18 1 1 58
775 18 1 1 12
793 18 1 1 3
593 19 1 1 56
594 19 1 1 13
595 19 1 1 25
636 19 1 1 34
637 19 1 1 107
747 19 1 1 13
774 19 1 1 44
793 19 1 1 8
635 20 1 1 22
742 20 1 1 310
747 20 1 1 150
774 20 1 1 31
793 20 1 1 3
634 21 1 1 23
635 21 1 1 2
742 21 1 1 110
746 21 1 1 150
747 21 1 1 342
774 21 1 1 23
793 21 1 1 6
590 22 1 1 409
591 22 1 1 17
633 22 1 1 7
666 22 1 1 49
667 22 1 1 32
745 22 1 1 134
774 22 1 1 17
793 22 1 1 1
590 23 1 1 275
633 23 1 1 9
666 23 1 1 1
742 23 1 1 7
744 23 1 1 101
745 23 1 1 324
774 23 1 1 13
590 24 1 1 22
633 24 1 1 6
664 24 1 1 234
669 24 1 1 30
740 24 1 1 136
741 24 1 1 32
743 24 1 1 41
774 24 1 1 7
590 25 1 1 8
633 25 1 1 5
664 25 1 1 269
665 25 1 1 164
669 25 1 1 1
742 25 1 1 24
743 25 1 1 74
774 25 1 1 1
588 26 1 1 514
668 26 1 1 44
736 26 1 1 153
738 26 1 1 27
768 26 1 1 35
769 26 1 1 23
588 27 1 1 290
589 27 1 1 26
668 27 1 1 81
669 27 1 1 71
741 27 1 1 4
769 27 1 1 1
773 27 1 1 2
774 27 1 1 1
588 28 1 1 191
590 28 1 1 1
664 28 1 1 286
665 28 1 1 270
734 28 1 1 131
741 28 1 1 16
762 28 1 1 44
763 28 1 1 16
764 28 1 1 16
765 28 1 1 6
766 28 1 1 5
767 28 1 1 3
773 28 1 1 1
774 28 1 1 1
775 28 1 1 1
779 28 1 1 2
780 28 1 1 2
793 28 1 1 1
588 29 1 1 148
589 29 1 1 19
590 29 1 1 3
665 29 1 1 197
734 29 1 1 3
741 29 1 1 23
762 29 1 1 8
764 29 1 1 2
775 29 1 1 1
776 29 1 1 1
779 29 1 1 4
780 29 1 1 5
781 29 1 1 2
782 29 1 1 2
783 29 1 1 2
784 29 1 1 2
793 29 1 1 6
590 30 1 1 6
646 30 1 1 6
648 30 1 1 104
649 30 1 1 242
668 30 1 1 37
669 30 1 1 124
732 30 1 1 20
760 30 1 1 4
764 30 1 1 1
776 30 1 1 1
777 30 1 1 1
590 31 1 1 7
649 31 1 1 209
736 31 1 1 11
737 31 1 1 17
738 31 1 1 17
739 31 1 1 17
777 31 1 1 1
590 32 1 1 6
644 32 1 1 144
649 32 1 1 162
671 32 1 1 253
730 32 1 1 22
735 32 1 1 21
756 32 1 1 29
757 32 1 1 26
786 32 1 1 3
793 32 1 1 14
590 33 1 1 2
644 33 1 1 127
647 33 1 1 19
649 33 1 1 174
666 33 1 1 13
670 33 1 1 17
671 33 1 1 187
734 33 1 1 13
735 33 1 1 41
757 33 1 1 1
793 33 1 1 8
671 34 1 1 111
728 34 1 1 14
754 34 1 1 19
778 34 1 1 1
779 34 1 1 2
785 34 1 1 2
793 34 1 1 4
670 35 1 1 87
671 35 1 1 129
733 35 1 1 8
793 35 1 1 4
660 36 1 1 12
661 36 1 1 281
722 36 1 1 252
724 36 1 1 21
725 36 1 1 7
733 36 1 1 18
744 36 1 1 87
745 36 1 1 126
794 36 1 1 5
795 36 1 1 15
661 37 1 1 259
722 37 1 1 8
732 37 1 1 2
733 37 1 1 23
745 37 1 1 12
789 37 1 1 3
795 37 1 1 1
588 38 1 1 2
634 38 1 1 18
635 38 1 1 121
661 38 1 1 155
720 38 1 1 40
742 38 1 1 7
747 38 1 1 5
748 38 1 1 8
749 38 1 1 11
588 39 1 1 2
635 39 1 1 50
660 39 1 1 142
661 39 1 1 188
720 39 1 1 21
731 39 1 1 8
786 39 1 1 1
787 39 1 1 31
790 39 1 1 7
586 40 1 1 8
587 40 1 1 2
636 40 1 1 20
637 40 1 1 161
720 40 1 1 21
771 40 1 1 1
772 40 1 1 1
790 40 1 1 41
797 40 1 1 38
586 41 1 1 7
637 41 1 1 13
720 41 1 1 16
771 41 1 1 1
772 41 1 1 1
773 41 1 1 1
785 41 1 1 1
790 41 1 1 107
791 41 1 1 59
792 41 1 1 23
793 41 1 1 20
794 41 1 1 25
795 41 1 1 31
796 41 1 1 34
797 41 1 1 47
586 42 1 1 3
729 42 1 1 8
785 42 1 1 24
728 43 1 1 4
729 43 1 1 13
774 43 1 1 4
775 43 1 1 1
781 43 1 1 13
782 43 1 1 26
783 43 1 1 51
784 43 1 1 58
785 43 1 1 72
584 44 1 1 24
585 44 1 1 3
637 44 1 1 41
716 44 1 1 18
717 44 1 1 9
718 44 1 1 9
719 44 1 1 5
720 44 1 1 2
727 44 1 1 2
771 44 1 1 6
779 44 1 1 40
584 45 1 1 9
631 45 1 1 3
632 45 1 1 8
633 45 1 1 3
635 45 1 1 6
636 45 1 1 52
637 45 1 1 116
719 45 1 1 5
720 45 1 1 1
721 45 1 1 1
725 45 1 1 4
726 45 1 1 6
727 45 1 1 12
770 45 1 1 6
771 45 1 1 27
776 45 1 1 20
777 45 1 1 31
778 45 1 1 17
779 45 1 1 41
631 46 1 1 8
664 46 1 1 411
665 46 1 1 568
698 46 1 1 338
699 46 1 1 29
717 46 1 1 3
742 46 1 1 1
790 46 1 1 250
791 46 1 1 220
792 46 1 1 216
793 46 1 1 205
794 46 1 1 118
795 46 1 1 32
631 47 1 1 2
