  102153   45317   56836
  3543  3000    1   1    85
  3544  3000    1   1    69
  3545  3000    1   1    58
  3546  3000    1   1    48
  3547  3000    1   1    40
  3548  3000    1   1    34
  3549  3000    1   1    30
  3550  3000    1   1    28
  3551  3000    1   1    28
  3552  3000    1   1    30
  3553  3000    1   1    32
  3554  3000    1   1    36
  3555  3000    1   1    41
  3556  3000    1   1    36
  3557  3000    1   1    16
  3558  3000    1   1    11
  3571  3000    1   1    91
  3572  3000    1   1   127
  3573  3000    1   1    91
  3574  3000    1   1   217
  3581  3000    1   1    86
  3582  3000    1   1   137
  3642  3000    1   1    91
  3677  3000    1   1    27
  3678  3000    1   1    24
  3679  3000    1   1    13
  3696  3000    1   1   154
  3708  3000    1   1    44
  3715  3000    1   1    66
  3717  3000    1   1     2
  3718  3000    1   1     6
  3719  3000    1   1     7
  3736  3000    1   1     2
  3737  3000    1   1    18
  3738  3000    1   1    41
  3749  3000    1   1   215
  3750  3000    1   1   220
  3755  3000    1   1   144
  3758  3000    1   1   655
  3763  3000    1   1    76
  3764  3000    1   1     3
  3771  3000    1   1     4
  3772  3000    1   1     1
  3773  3000    1   1     1
  3774  3000    1   1     1
  3775  3000    1   1     1
  3776  3000    1   1     1
  3777  3000    1   1     1
  3778  3000    1   1     1
  3779  3000    1   1     9
  3782  3000    1   1   200
  3543  3001    1   1    73
  3544  3001    1   1    60
  3545  3001    1   1    51
  3546  3001    1   1    41
  3547  3001    1   1    33
  3548  3001    1   1    27
  3549  3001    1   1    23
  3550  3001    1   1    22
  3551  3001    1   1    23
  3552  3001    1   1    25
  3553  3001    1   1    27
  3554  3001    1   1    30
  3555  3001    1   1    32
  3556  3001    1   1    29
  3557  3001    1   1    18
  3558  3001    1   1    10
  3559  3001    1   1    12
  3581  3001    1   1    93
  3582  3001    1   1   134
  3641  3001    1   1   535
  3642  3001    1   1   611
  3677  3001    1   1    68
  3678  3001    1   1    47
  3679  3001    1   1    30
  3680  3001    1   1    14
  3681  3001    1   1     3
  3696  3001    1   1    63
  3701  3001    1   1    60
  3708  3001    1   1    17
  3715  3001    1   1   113
  3716  3001    1   1    15
  3718  3001    1   1     2
  3719  3001    1   1     3
  3720  3001    1   1     2
  3737  3001    1   1    19
  3738  3001    1   1    40
  3750  3001    1   1   146
  3757  3001    1   1   182
  3758  3001    1   1   759
  3763  3001    1   1    82
  3764  3001    1   1     9
  3766  3001    1   1     2
  3771  3001    1   1     9
  3772  3001    1   1     1
  3773  3001    1   1     1
  3774  3001    1   1     1
  3775  3001    1   1     1
  3776  3001    1   1     1
  3777  3001    1   1     1
  3778  3001    1   1     1
  3779  3001    1   1     4
  3782  3001    1   1   352
  3543  3002    1   1    75
  3544  3002    1   1    62
  3545  3002    1   1    48
  3546  3002    1   1    35
  3547  3002    1   1    26
  3548  3002    1   1    20
  3549  3002    1   1    17
  3550  3002    1   1    16
  3551  3002    1   1    17
  3552  3002    1   1    19
  3553  3002    1   1    21
  3554  3002    1   1    23
  3555  3002    1   1    23
  3556  3002    1   1    21
  3557  3002    1   1    16
  3558  3002    1   1     9
  3559  3002    1   1     5
  3560  3002    1   1    32
  3576  3002    1   1   153
  3581  3002    1   1    95
  3582  3002    1   1   118
  3585  3002    1   1   150
  3586  3002    1   1   148
  3677  3002    1   1    94
  3678  3002    1   1    66
  3679  3002    1   1    44
  3680  3002    1   1    27
  3681  3002    1   1    12
  3682  3002    1   1     2
  3683  3002    1   1     1
  3709  3002    1   1    75
  3710  3002    1   1   179
